    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
         P/E       P/S P/Cash Flow    EPS (VND)   BVPS (VND)  EV/EBITDA   
0  -0.137587  0.124849    2.200626 -3634.067788     0.000000  52.874332   
1  -0.210507  0.085206  -11.312111 -2850.260704     0.000000  15.786516   
2  -0.623273  0.153166    7.242736 -1691.073540     0.000000   8.935286   
3   8.209047  0.152289    6.304371   243.633635     0.000000   5.722051   
4 -47.111677  0.140541    0.693637   -42.452321     0.000000   5.904383   
5  -0.348917  0.161985    1.965808 -5732.019394     0.000000  31.391629   
6  -2.285748  0.194514    0.588781  -874.987241     0.000000  27.235080   
7  -0.626323  0.177700    3.717434 -3193.242056   418.866640  16.294799   
8  -0.494851  0.187681    9.683769 -4041.623041  3612.108696  26.755850   
9  -0.403980  0.194671  -10.792570 -4950.743169  7727.197280  20.806663   

  Chỉ tiêu khả năng sinh lợi                                               \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)    ROE (%)  ROIC (%)   
0                  -0.128176               -0.907419   0.269851 -0.510486   
1                   0.026917               -0.404767   0.278760 -0.014525   
2                   0.141829               -0.245745   0.212604  0.090789   
3                   0.174534                0.018551  -0.042551  0.175257   
4                   0.164672               -0.002983   0.007054  0.167863   
5                  -0.079553               -0.464250   1.725405 -0.100786   
6                  -0.075944               -0.085099  46.974187 -0.066481   
7                   0.025563               -0.283719  -1.584352 -0.024620   
8                  -0.022540               -0.379267  -0.712852 -0.043581   
9                   0.008502               -0.481884  -0.485245 -0.028428   

                                                           \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng)   
0 -0.131818     -0.208694       8895206673   -22753164704   
1 -0.101678     -0.010873      30026636399    -2084370345   
2 -0.061299      0.108847      54259379208    20391102076   
3  0.009341      0.152744      90318770046    54609882594   
4 -0.001639      0.135454      88852123118    52476397808   
5 -0.192301     -0.114947      19132746164   -38636630795   
6 -0.024564     -0.133478      23007430992   -37362576729   
7 -0.085156     -0.053905      43781295156   -16516529813   
8 -0.107194     -0.115852      27128495414   -33609430627   
9 -0.123199     -0.089784      34917270154   -25111633456   

         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    0.268449                   0.003422   
1                    0.290159                   0.002749   
2                    0.277498                   0.008025   
3                    0.305413                   0.003114   
4                    0.256100                   0.004288   
5                    0.541957                   0.031272   
6                    0.963283                   0.013183   
7                    0.777497                   0.001755   
8                    0.517467                   0.005709   
9                    0.290663                   0.002116   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                0.258465                 0.300582         -1.768088   
1                0.276380                 0.028369         -2.413256   
2                0.256394                -0.306719         -3.176291   
3                0.261769                -1.125371         -4.792608   
4                0.156804                -0.950036         -4.327899   
5                0.404613                 0.640964         -4.282708   
6                0.611626                 0.608492        -72.597338   
7                0.522250                 0.229815         91.023875   
8                0.344089                 0.424821         10.207598   
9                0.105384                 0.280914          4.987128   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    0.145267       0.250428                 982.702867   
1                    0.251201       0.410286                 512.759379   
2                    0.249440       0.374503                 431.542865   
3                    0.503518       0.628793                 103.765875   
4                    0.549348       0.646701                  46.879322   
5                    0.414219       0.525105                  68.653241   
6                    0.288659       0.401065                 109.030757   
7                    0.300141       0.405792                  76.996409   
8                    0.282635       0.358402                  42.765097   
9                    0.255662       0.320277                  53.188109   

                                                                       \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân  Chu kỳ tiền   
0                 38.693984                   135.031722  1156.428573   
1                 35.177815                    81.689818   629.627011   
2                 43.216199                    80.189989   554.949054   
3                 38.974166                    59.071881   201.811922   
4                 35.340752                    61.965485   144.185558   
5                 37.623110                    69.556103   175.832454   
6                 71.557483                   107.131531   287.719770   
7                 66.058008                    69.257040   212.311458   
8                 72.700366                    39.633207   155.098671   
9                 94.057577                    60.140288   207.385974   

                         Chỉ tiêu cơ cấu nguồn vốn                            \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH    Nợ/VCSH TSCĐ / Vốn CSH   
0               9.432991                 -1.107121  -2.768088      -1.008290   
1              10.375858                 -1.452476  -3.413256      -1.422604   
2               8.445907                 -1.937552  -4.176291      -2.017437   
3               9.365178                 -4.547306  -5.792608      -3.612671   
4              10.328020                 -5.159696  -5.327899      -3.681374   
5               9.701484                 -6.241016  -5.282708      -3.633282   
6               5.100794                -88.907625 -73.597338     -53.808110   
7               5.525447                106.902844  90.023875      63.816863   
8               5.020607                 12.838069   9.207598       7.956802   
9               3.880602                  5.122363   3.987128       3.976269   

                       
  Vốn CSH/Vốn điều lệ  
0           -1.528398  
1           -1.164991  
2           -0.879965  
3           -0.560387  
4           -0.584751  
5           -0.618814  
6           -0.045612  
7            0.041887  
8            0.361211  
9            0.772720  
