    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
         Chỉ tiêu thanh khoản                             \
  Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                    0.751702                   0.013364   
1                    0.784299                   0.024715   
2                    0.765581                   0.020837   
3                    0.740618                   0.031974   
4                    1.968402                   0.070093   
5                    1.793394                   0.104159   
6                    1.468339                   0.066702   
7                    1.305045                   0.040481   
8                    0.707383                   0.009662   
9                    0.828607                   0.007545   

                                                                      \
  Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                0.473101                 0.000000        -14.011106   
1                0.501981                10.183720        -68.243750   
2                0.530737                 0.000000       -518.020611   
3                0.506058               -12.070203        191.254693   
4                1.379216                -0.526218        135.567778   
5                1.260547               -32.208922        203.595783   
6                1.025161                -3.069943        -42.951336   
7                0.734650                 0.166086        -36.546479   
8                0.273431                 0.402407         50.387439   
9                0.256839                 0.547899         10.667613   

  Chỉ tiêu hiệu quả hoạt động                                            \
            Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                    0.659558       4.174860                 322.021435   
1                    0.745397       4.103162                 289.435950   
2                    0.512158       2.422203                 415.533900   
3                    0.564765       2.247742                 358.548271   
4                    0.540372       1.840980                 357.706949   
5                    0.501154       1.622351                 364.972632   
6                    0.644311       2.118911                 257.342323   
7                    0.996586       3.368678                 135.820264   
8                    0.572060       2.162470                 191.298370   
9                    0.736531       3.775234                 127.652811   

                                                                      \
  Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                156.417267                    75.458861  553.897563   
1                130.028803                    61.298612  480.763364   
2                172.765154                    90.061884  678.360938   
3                145.566688                    66.976456  571.091414   
4                140.061783                    47.375035  545.143767   
5                151.280148                    54.873171  571.125952   
6                141.636768                    50.302716  449.281807   
7                120.752231                    29.312281  285.884776   
8                265.189710                    29.211452  485.699532   
9                258.324677                    24.248919  410.226407   

                         Chỉ tiêu cơ cấu nguồn vốn                             \
  Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH     Nợ/VCSH TSCĐ / Vốn CSH   
0               2.333502                -11.650434  -15.011106      -2.077812   
1               2.807070                -53.720852  -69.243750     -11.403580   
2               2.112695               -409.463890 -519.020611    -101.590206   
3               2.507442                148.117128  190.254693      43.279252   
4               2.605993                197.039907  134.567778      37.512062   
5               2.412742                295.244209  202.595783      63.098380   
6               2.577014                -61.265564  -43.951336     -13.226578   
7               3.022718                -47.588048  -37.546479     -10.987999   
8               1.376373                 36.299134   49.151561      14.698053   
9               1.412951                  7.277038    9.616639       2.594811   

                       
  Vốn CSH/Vốn điều lệ  
0           -0.210851  
1           -0.045988  
2           -0.006107  
3            0.017078  
4            0.023641  
5            0.016150  
6           -0.080636  
7           -0.107192  
8            0.090545  
9            0.545392  
