     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
10           -139184665582                 1184551861251   

    Tăng/Giảm các khoản phải trả  Tăng/Giảm chi phí trả trước  \
0                    -8514276158                   1911637506   
1                   -31749330268                  -1224142846   
2                  -134873369430                   1057334246   
3                  -359026215355                  -2478178838   
4                   111918367627                  -2216780466   
5                   702262710945                 -18080525074   
6                   -99912147453                 -22253090441   
7                   201501169690                -123215239559   
8                   598318740606                  -8230257528   
9                  1669449714957                 -35806186947   
10                 1184551861251                -118287599120   

    Chi phí lãi vay đã trả  Tiền thu nhập doanh nghiệp đã trả  \
0             -48137238318                       -20613359069   
1             -42555792394                       -17627336019   
2             -47038891741                       -17161569821   
3             -87995480336                       -20565013364   
4             -99641022205                       -16595317652   
5            -372642355493                       -30057700970   
6            -157026459734                       -80044992054   
7            -209909467254                       -13554751820   
8            -153503337231                       -21543134071   
9            -188396101133                       -16854142163   
10           -194393481969                       -10797325130   

    Tiền thu khác từ các hoạt động kinh doanh  \
0                                           0   
1                                           0   
2                                           0   
3                                           0   
4                                           0   
5                                    25825000   
6                                  9236702716   
7                                914242994460   
8                                           0   
9                                 34810285767   
10                                42965982729   

    Tiền chi khác từ các hoạt động kinh doanh  \
0                                 -5211014319   
1                                 -6906864383   
2                                 -5418093373   
3                                 -6682014678   
4                                 -6737373200   
5                                -23567952403   
6                               -272177521227   
7                              -1043189004036   
8                                           0   
9                               -193434172895   
10                               -99424957381   

    Lưu chuyển tiền tệ ròng từ các hoạt động SXKD  \
0                                     50131631236   
1                                     90029039222   
2                                    182501163377   
3                                    404374279986   
4                                     42286511811   
5                                   -112567206669   
6                                    -25772741069   
7                                    391685599125   
8                                    651316588617   
9                                   1316966563819   
10                                   986015145997   

    Tiền thu được từ thanh lý tài sản cố định  \
0                                  1586281240   
1                                   683602685   
2                                   996336364   
3                                  4792602477   
4                                   355090909   
5                                    58454545   
6                                   305156727   
7                                  2456934792   
8                                  1099109199   
9                                 10114941700   
10                                    7020000   

    Đầu tư vào các doanh nghiệp khác  \
0                                  0   
1                                  0   
2                                  0   
3                                  0   
4                       -92746752146   
5                       -87188421360   
6                                  0   
7                        -2000000000   
8                       -16794663804   
9                       -49731039242   
10                       -5765800000   

    Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác  \
0                                          3030000000             
1                                                   0             
2                                         14893761951             
3                                         27298728470             
4                                           907341289             
5                                             4565164             
6                                          3600000000             
7                                        133463300000             
8                                          5446750000             
9                                                   0             
10                                                  0             

    Chi trả cho việc mua lại, trả cổ phiếu  Tiền thu được các khoản đi vay  \
0                                        0                   2277502020129   
1                                        0                   2727596762883   
2                                        0                   2361452293316   
3                                        0                   2604046652110   
4                                        0                   3784844330377   
5                                        0                   5457169939067   
6                                        0                   4244127774743   
7                                        0                   4533223641100   
8                                -26360000                   4804898242042   
9                              -3046060000                   2839009701146   
10                            -12102241603                   2488503790589   

    Tiền trả các khoản đi vay  Tiền thanh toán vốn gốc đi thuê tài chính  \
0              -2200207852497                                 -754232541   
1              -2770188798361                                 -898297000   
2              -2647868018761                                 -574779979   
3              -2958767028685                                -1234923639   
4              -3889537176418                                -1697226129   
5              -5445621602374                                 -306360000   
6              -4408061325776                                -2144907451   
7              -4625369448211                                -2811693688   
8              -5320051532324                                -3717335716   
9              -4136266437774                                -2773555716   
10             -3426697754430                                -1181603288   

    Cổ tức đã trả  Lưu chuyển tiền thuần trong kỳ  \
0    -84332765046                    114404546354   
1     -1745351235                   -120906352204   
2     -1736563735                    -69583123032   
3    -38407772888                    127471043961   
4    -47535792000                    -28970955466   
5   -204473602662                   -232512692266   
6    -58249211354                    -94422138639   
7    -70417246642                    236770070847   
8    -40317348694                    134852237920   
9      -309710352                    -52075721490   
10     -316674000                     17647190949   

    Ảnh hưởng của chênh lệch tỷ giá  Tiền và tương đương tiền cuối kỳ  \
0                           2470870                      206505394155   
1                           -151385                       92098376931   
2                          11117176                      213004880520   
3                         -24816867                      282576886376   
4                                -1                      155130659282   
5                          19061089                      184101614749   
6                           1636260                      416595245926   
7                         139383407                      511015748305   
8                        1098547711                      274106294051   
9                          71996732                      138155508420   
10                          4324817                      189859338407   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0     48322571117           30104441854   
1     59609630520           22855734453   
2     62368306492           14560586210   
3     65208495526           34412689238   
4     66334030941           33835111509   
5    197489124513           -3566217559   
6    201692779131           12031432325   
7    186982136913           -5474326494   
8    180408541451           -3003485523   
9    184029404922            9398936034   
10   170424237495           -5087366904   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                       180081573950   -6343023314   
1                                       237421118620  -12956964058   
2                                       236895871483   -6721795731   
3                                       257413691659  -19777462829   
4                                       238678836931  -66860353694   
5                                       528623054315  -41350905414   
6                                       701939261968  -54169538934   
7                                       659433399712  -68706092339   
8                                       499286586751  -31863986938   
9                                       506183665485  -34950203551   
10                                      464503999471  -27625266313   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                              21292487147                     72065745073   
1                              10373653660                   -165699707713   
2                              10654480166                     36642782750   
3                             151756968959                    117459837077   
4                             166354165056                     82668396893   
5                             153115614037                     73286140372   
6                              94765223605                    155678272268   
7                              54987076710                     10459219163   
8                              68068111734                     25955320191   
9                               8910078480                    -65656222613   
10                              8215573997                    -16573472316   

    Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu  \
0                                                   0        
1                                                   0        
2                                                   0        
3                                                   0        
4                                                   0        
5                                                   0        
6                                                   0        
7                                                   0        
8                                         16794663804        
9                                                   0        
10                                                  0        

    Lưu chuyển tiền từ hoạt động tài chính  \
0                              -7792829955   
1                             -45235683713   
2                            -288727069159   
3                            -394363073102   
4                            -153925864170   
5                            -193231625969   
6                            -224327669838   
7                            -165374747441   
8                            -542419670888   
9                           -1303386062696   
10                           -951794482732   

    Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  \
0                                        167500000000                        
1                                         45000000000                        
2                                         16820000000                        
3                                           209000000                        
4                                        135838905479                        
5                                        489778333400                        
6                                        150039097470                        
7                                        155258000000                        
8                                                   0                        
9                                         78325000000                        
10                                       163180691002                        

    Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                       -115000000000           
1                                       -208800000000           
2                                                   0           
3                                        -46820000000           
4                                        -61180000000           
5                                       -441131500000           
6                                        -38861666600           
7                                       -265000000000           
8                                                   0           
9                                        -78325000000           
10                                      -154585691002           
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   FIC  2023  5          1.127975     1790700000000   
1   FIC  2022  5          1.108037     1806575000000   
2   FIC  2021  5          1.707046     2730500000000   
3   FIC  2020  5          2.881766     4304919000000   
4   FIC  2019  5          1.561128     2242058000000   
5   FIC  2018  5          1.664039     2242058000000   
6   FIC  2017  5          1.449932     2242058000000   
7   FIC  2016  5          1.773398     2242058000000   
8   FIC  2015  5          1.093174     1424376605819   
9   FIC  2014  5          1.132589     1427506660019   
10  FIC  2013  5          1.222428     1428776712199   

                                                                             \
   Số CP lưu hành (Triệu CP)         P/E       P/S P/Cash Flow    EPS (VND)   
0                  127000000   33.919660  1.351052   35.719963   440.475647   
1                  127000000   18.838377  1.104569   20.066581   777.548674   
2                  127000000   28.382849  1.869121   14.961548   778.072213   
3                  127000000   79.107845  1.585290   10.645877   448.481128   
4                  127000000  182.742015  0.581787   53.020642   124.584360   
5                  127000000   30.581470  0.351381  -19.917506   577.277686   
6                  127000000    9.787839  0.429148  -86.993386  1803.666838   
7                  127000000    6.535765  0.396787    5.724127  2701.137459   
8                   80682939   20.038151  0.260984    2.186919   881.019427   
