     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
7                                           0    -3180240000   
8                                           0    -2208500000   
9                                           0    -1385989898   
10                                          0    -4770211510   

    Lưu chuyển tiền thuần trong kỳ  Tiền và tương đương tiền cuối kỳ  \
0                         69977276                        4639067192   
1                      -9337075179                        4569089916   
2                       4425635204                       13906165095   
3                     -12204142791                        9480529891   
4                      -7932834154                       21684672682   
5                       5286196400                       29617506836   
6                       4226974066                       24331310436   
7                       6669387567                       20104336370   
8                       6916281158                       13434948803   
9                        373081930                        6518667645   
10                      1474820668                        6145585715   

    Khấu hao TSCĐ  Dự phòng RR tín dụng  \
0      4638927486            1604448950   
1      4958714930            1254542557   
2      5334083341            1269072558   
3      5980133928             795949624   
4      5260163844             559115234   
5      4941700122          -15713446990   
6      4565322405            6700559934   
7      3498397300            2180148617   
8      3344538467            6398004188   
9               0                     0   
10              0                     0   

    Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ  Mua sắm TSCĐ  \
0                                        10982575728   -1496100142   
1                                       -18304535365             0   
2                                        16389634152     -80000000   
3                                        20938704079    -500000000   
4                                        20235068990   -6830876272   
5                                        17807635212   -1467454339   
6                                        20202427714  -10717041335   
7                                        10692477372   -9268820659   
8                                        13701117112  -12244561451   
9                                                  0  -24258456230   
10                                                 0  -22957971460   

    Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                                  4785995                      3384855894   
1                                924293924                      1444655557   
2                                534986625                       764077534   
3                                948742023                       448742023   
4                               1292586643                     -3410832721   
5                               1883764958                      1832163346   
6                               1251346565                     -9331385679   
7                               1427143958                     -6348722156   
8                                849457546                    -10378740269   
9                                329366980                    -20856361978   
10                               249609011                    -11718362449   

    Lưu chuyển tiền từ hoạt động tài chính  
0                              -7465000000  
1                              13618618640  
2                             -13128811609  
3                             -16970793970  
4                             -13696746300  
5                              -5282990178  
6                             -10475720000  
7                               1310944277  
8                              -1108571414  
9                              -1671697914  
10                             10287063689  
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   DND  2023  5          1.481194      146644400000   
1   DND  2022  5          1.365468      127209600000   
2   DND  2021  5          0.952201      117492200000   
3   DND  2020  5          2.011140      253535800000   
4   DND  2019  5          1.759544      219966600000   
5   DND  2018  5          1.751390      219966600000   
6   DND  2017  5          1.998390      219966600000   
7   DND  2016  5          2.046399      219966600000   
8   DND  2015  5          2.063105      219966600000   
9   DND  2014  5          2.091172      219966600000   
10  DND  2013  5          2.050158      219966600000   

                                                                             \
   Số CP lưu hành (Triệu CP)         P/E       P/S P/Cash Flow    EPS (VND)   
0                    8834000   25.100798  1.234474   35.334966   661.333567   
1                    8834000   -5.257119  0.918539   -5.213434 -2739.143038   
2                    8834000   14.158193  0.731693    6.997595   498.673492   
3                    8834000   21.611188  1.351058   58.717261  1443.495512   
4                    8834000   18.867982  0.838105   23.975228  1434.452126   
5                    8834000    9.579086  0.849597   25.176378  2825.448713   
6                    8834000   30.281564  0.925728    9.152279   893.785310   
7                    8834000   45.167695  1.006972   18.789057   599.216267   
8                    8834000   56.625638  1.063698   11.952373   439.730146   
9                    8834000   89.754916  1.626993    9.605049   277.422130   
10                   8834000  218.976889  1.977525   75.690833   113.710630   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   11207.171458  19.847913                   0.152069   
1   10545.837891 -48.144094                   0.048162   
2   13967.641657   6.617918                   0.128990   
3   14270.510710  12.216467                   0.150568   
4   14151.397698  10.827014                   0.122286   
5   14217.281772   6.020667                   0.117407   
6   12460.032221  15.832560                   0.126752   
7   12167.717360  26.467206                   0.100075   
8   12069.185410  26.066199                   0.098464   
9   11907.197477  43.656634                   0.089267   
10  12145.406162  79.043909                   0.050191   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.049181  0.060804  0.027859  0.030984      0.025743   
1                -0.174723 -0.223481 -0.070785 -0.127782     -0.056933   
2                 0.027434  0.072319  0.085992  0.047198      0.052178   
3                 0.067953  0.101576  0.109283  0.063706      0.078099   
4                 0.048282  0.101129  0.103098  0.063065      0.055138   
5                 0.096405  0.211824  0.207436  0.131426      0.112667   
6                 0.033229  0.072584  0.069916  0.043114      0.036544   
7                 0.024233  0.049447  0.037718  0.030300      0.022076   
8                 0.018785  0.036680  0.042352  0.024528      0.025086   
9                 0.018127  0.023068  0.024385  0.016413      0.021636   
10                0.009031  0.009271  0.006835  0.006890      0.007518   

                                                       \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0        7696924583     3057997097           0.000000   
1       -2925967709    -7884682639           0.000000   
2       16330526187     8378495770           0.000000   
3       20635896629    14655762701           0.038328   
4       19731607998    14471444154           0.044177   
5       34111962937    29170262815           0.060241   
6       13248783073     8683460668           0.028112   
7        8320656500     4822259200           0.019277   
8        8532227255     5187688788           0.014458   
9        5227592435     2925154243           0.000000   
10       2895584142      836298298           0.006024   

          Chỉ tiêu thanh khoản                             \
   Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                     0.494241                   0.066546   
1                     0.482017                   0.060962   
2                     1.096647                   0.284536   
3                     1.084565                   0.186858   
4                     1.086508                   0.345535   
5                     1.339391                   0.574769   
6                     0.975016                   0.472149   
7                     1.137253                   0.458994   
8                     1.065904                   0.273075   
9                     1.505112                   0.187694   
10                    1.850216                   0.191285   

                                                                       \
   Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                 0.347544                -1.770356          1.872815   
1                 0.390438                 7.012021          2.057681   
2                 0.937230               -47.809747          1.515800   
3                 0.832862               -61.881379          1.548344   
4                 0.980512               -58.576117          1.640930   
5                 1.168840               -70.149801          1.566393   
6                 0.829318               -15.848610          1.663476   
7                 0.954388                -9.594265          1.704053   
8                 0.950986                -8.602413          1.559184   
9                 1.253860                -9.401716          1.430819   
10                1.502105               -39.562808          1.380684   

   Chỉ tiêu hiệu quả hoạt động                                            \
             Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                     0.630001       7.317565                  77.109681   
1                     0.731341       6.618188                  79.543248   
2                     0.840210       6.168342                  76.886512   
3                     0.937509       5.976465                  72.953912   
4                     1.306178       8.471523                  44.498837   
5                     1.363265       8.872161                  40.829551   
6                     1.297484       8.063591                  52.120061   
7                     1.250368       8.563451                  61.801288   
8                     1.305749       6.981951                  71.665405   
9                     0.905420       2.941680                 108.775438   
10                    0.762900       2.052594                 114.068195   

                                                                       \
