     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
9                    0.093856                0.179263   
10                   0.157919                0.787394   

                                              Chỉ tiêu hiệu quả hoạt động  \
   Khả năng chi trả lãi vay Đòn bẩy tài chính           Vòng quay tài sản   
0                  0.000000         11.562170                    0.562574   
1                  0.000000         11.721337                    0.534453   
2                  0.000000         12.238517                    1.182673   
3                  0.000000          9.464792                    0.992284   
4                  0.000000          6.760978                    0.876335   
5                  0.000000          6.267671                    0.686599   
6                 20.471628          5.466728                    0.998282   
7                  3.566125          4.454554                    1.291810   
8                  0.181975          2.394001                    3.258591   
9                  5.692250          2.333545                    5.225668   
10                 2.961067          1.616907                    4.346018   

                                                                        \
   Vòng quay TSCĐ Số ngày thu tiền bình quân Số ngày tồn kho bình quân   
0        0.610252                   1.373406                 10.713356   
1        0.580449                   0.900561                 23.783923   
2        1.288900                   0.278502                 12.099135   
3        1.073250                   0.054128                 12.255020   
4        0.951856                   0.925173                 14.549279   
5        0.752480                   1.151102                 19.852426   
6        1.261038                   0.079013                 51.931782   
7        2.100164                   0.362515                 69.912911   
8        7.817531                   1.660548                 38.362460   
9       16.080948                   1.364463                 28.445758   
10      20.753588                   1.912145                 42.417863   

                                                                    \
   Số ngày thanh toán bình quân Chu kỳ tiền Vòng quay hàng tồn kho   
0                     28.386850   40.473613              34.069622   
1                     42.222665   66.907149              15.346501   
2                     21.206919   33.584555              30.167447   
3                     24.878942   37.188090              29.783712   
4                     26.273506   41.747958              25.087153   
5                     32.544794   53.548322              18.385662   
6                     11.728052   63.738847               7.028451   
7                      4.661963   74.937388               5.220781   
8                      3.326993   43.350001               9.514510   
9                      3.999679   33.809900              12.831439   
10                     6.801752   51.131759               8.604865   

   Chỉ tiêu cơ cấu nguồn vốn                                                
            (Vay NH+DH)/VCSH    Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   0.014449  10.562170      10.551231            0.211511  
1                   0.014687  10.721337      10.914958            0.208072  
2                   0.014713  11.238517      11.146063            0.207711  
3                   0.011130   8.464792       8.748128            0.274584  
4                   0.007655   5.760978       6.252746            0.399217  
5                   0.006761   5.267671       5.745495            0.452002  
6                   0.005625   4.466728       4.966000            0.543315  
7                   0.841381   3.454554       3.138024            0.893050  
8                   1.228639   1.394001       0.928321            0.653146  
9                   1.137637   1.333545       1.045086            0.627724  
10                  0.436910   0.616907       0.295021            0.781290  
