    CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  Tài sản dài hạn khác  \
4                                       24425131241   -2327358738   
5                                       19401859751   -1612112658   
6                                       19199584653    -890078343   
7                                       17909228412    -915525963   
8                                       27145445529   -2073062831   
9                                       31241023133   -1251880377   

   Tiền thu cổ tức và lợi nhuận được chia  Lưu chuyển từ hoạt động đầu tư  \
0                               163466126                      -354933874   
1                                44490836                    -10194734639   
2                               179910786                     -1175692304   
3                               423934111                    -17099710186   
4                               102537091                      -354751647   
5                               290504292                      4055951634   
6                               272101458                     -3178476885   
7                               300236536                     -2322289427   
8                               394689726                     -3179610519   
9                               317748800                      -962729759   

   Lưu chuyển tiền từ hoạt động tài chính  \
0                               690249470   
1                             13716917166   
2                            -81655814763   
3                             -8646142269   
4                            -19818269831   
5                             18115025129   
6                            -52094525163   
7                            -60481791935   
8                              2020038282   
9                              1782481933   

   Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                  0           
1                                                  0           
2                                                  0           
3                                                  0           
4                                                  0           
5                                                  0           
6                                                  0           
7                                                  0           
8                                                  0           
9                                         -146780000           
  Meta          Chỉ tiêu định giá                                              \
    CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng) Số CP lưu hành (Triệu CP)   
0  HPT  2023  5          1.603428      2.425896e+11                10065960.0   
1  HPT  2022  5          0.949258      1.217270e+11                 9084101.0   
2  HPT  2021  5          0.000000      0.000000e+00                       0.0   
3  HPT  2019  5          0.849926      8.966517e+10                 7534888.0   
4  HPT  2018  5          0.894937      8.966517e+10                 7534888.0   
5  HPT  2017  5          0.932116      8.966517e+10                 7534888.0   
6  HPT  2016  5          0.884307      8.168399e+10                 6864201.0   
7  HPT  2015  5          0.932343      8.168399e+10                 6864201.0   
8  HPT  2014  5          0.919056      8.168399e+10                 6864201.0   
9  HPT  2013  5          0.931245      8.168399e+10                 6864201.0   

                                                                          \
         P/E       P/S P/Cash Flow    EPS (VND)    BVPS (VND)  EV/EBITDA   
0   7.269557  0.209739   17.282458  3315.195052  15030.299747   6.994093   
1 -19.148587  0.103818   -5.103999  2332.635140  14116.288206   9.072722   
2   0.000000  0.000000    0.000000     0.000000      0.000000   0.000000   
3   7.551354  0.107747    4.318646  2251.251947  14001.213679   7.666288   
4   6.288346  0.113905    2.065163  1892.389527  13297.020148   7.816363   
5   7.616849  0.099313   -2.313737  1562.325907  12766.647364  14.402038   
6  10.898649  0.088390    1.133497  1364.848115  13456.857735  10.991747   
7  16.268271  0.118638    9.450258   914.356558  12763.542394  84.724081   
8   8.162313  0.103107    2.517363  1457.920021  12948.064187  11.382933   
9   8.698899  0.098420   48.044710  1367.989230  12778.588104   9.719156   

  Chỉ tiêu khả năng sinh lợi                                              \
      Biên lợi nhuận gộp (%) Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   
0                   0.199517                0.028852  0.238764  0.177302   
1                   0.153761                0.018072  0.172728  0.065326   
2                   0.179871                0.024473  0.000000  0.000000   
3                   0.161707                0.020384  0.164938  0.091054   
4                   0.148467                0.018114  0.145213  0.092390   
5                   0.114842                0.013039  0.124858  0.056918   
6                   0.103760                0.010138  0.104106  0.062027   
7                   0.118001                0.009116  0.071124  0.004303   
8                   0.115249                0.012632  0.113339  0.057673   
9                   0.126702                0.011314  0.107907  0.076481   

                                                                              \
    ROA (%) Biên EBIT (%) EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0  0.086198      0.027230      35320851261    31495408093           0.049793   
1  0.063082      0.008361      15022325466     9803791693           0.029851   
2  0.000000      0.008089                0     6532424224           0.000000   
3  0.046597      0.021357      19083202434    17773306193           0.042017   
4  0.039714      0.022758      18619957511    17914955164           0.084034   
5  0.029697      0.012761      12588628218    11521644001           0.084034   
6  0.024779      0.011754      12132848538    10862256995           0.067227   
7  0.015103      0.001370       2349581936      943546266           0.042017   
8  0.022083      0.020068      17571975766    15898078322           0.067227   
9  0.023068      0.024491      22901239372    20326109942           0.084034   

