     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
   Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                 1.348796                -1.269599          2.588157   
1                 0.815642                -1.547285          3.438716   
2                 0.970176                -1.951510          2.288025   
3                 0.826069                -1.229857          2.343023   
4                 0.667650                -1.221339          2.732009   
5                 0.728137                -2.298858          3.260121   
6                 0.649468                -1.039958          3.444009   
7                 0.584759                -2.910253          3.815511   
8                 0.807713                -2.723446          3.099564   
9                 0.926782                -2.337929          3.012385   
10                1.360661                -1.642768          2.477091   

   Chỉ tiêu hiệu quả hoạt động                                            \
             Vòng quay tài sản Vòng quay TSCĐ Số ngày thu tiền bình quân   
0                     2.251486     167.661648                  99.762445   
1                     3.690245     223.806759                  47.121158   
2                     2.138103      88.004220                  69.112006   
3                     1.447182      58.082022                  97.484356   
4                     1.691904      77.477555                  86.393349   
5                     2.225843     120.563669                  63.714768   
6                     2.352599     245.409239                  57.011364   
7                     2.223497    1202.712858                  67.286062   
8                     2.525517      26.874661                  60.783835   
9                     3.143855      18.965994                  49.585834   
10                    3.366514      18.912163                  43.214534   

                                                                       \
   Số ngày tồn kho bình quân Số ngày thanh toán bình quân Chu kỳ tiền   
0                  28.117626                    25.184836  153.064907   
1                  26.101732                    21.992950   95.215840   
2                  44.268630                    30.824192  144.204828   
3                  83.309869                    18.373679  199.167904   
4                  75.095884                    14.171437  175.660670   
5                  43.479758                    13.781899  120.976424   
6                  41.279763                    25.249074  123.540201   
7                  48.103310                    43.022503  158.411874   
8                  33.979566                    44.652993  139.416393   
9                  25.414300                    41.210871  116.211005   
10                 20.859157                    35.274872   99.348563   

                          Chỉ tiêu cơ cấu nguồn vốn                           \
   Vòng quay hàng tồn kho          (Vay NH+DH)/VCSH   Nợ/VCSH TSCĐ / Vốn CSH   
0               12.981181                  1.209585  1.588157       0.038059   
1               13.983747                  1.594910  2.438716       0.042985   
2                8.245116                  0.604381  1.288025       0.051849   
3                4.381234                  0.885250  1.343023       0.060776   
4                4.860453                  1.457448  1.732009       0.065751   
5                8.394711                  1.797921  2.260121       0.065436   
6                8.842105                  1.988575  2.444009       0.058813   
7                7.587835                  1.775631  2.815511       0.007703   
8               10.741750                  1.248505  2.099564       0.005055   
9               14.361993                  0.948342  2.012385       0.579119   
10              17.498310                  0.796129  1.477091       0.328068   

                        
   Vốn CSH/Vốn điều lệ  
0             1.319923  
1             1.365530  
2             1.326029  
3             1.287534  
4             1.329744  
5             1.407104  
6             1.548023  
7             1.383068  
8             1.330657  
9             1.286559  
10            1.243481  
