     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
2        5.002755                 199.030535                287.733396   
3        6.267429                 160.243991                303.538397   
4       14.013593                  72.317948                233.340619   
5        2.933921                 399.709594               1092.740910   
6        7.115625                 179.729465                146.370292   
7        4.999229                 252.852753                220.487591   
8        4.694533                 266.940998                276.928773   
9        6.046234                 170.141534                262.567011   
10       4.471422                 234.515395                366.070823   

                                                                     \
   Số ngày thanh toán bình quân  Chu kỳ tiền Vòng quay hàng tồn kho   
0                    172.943066   579.665119               1.402270   
1                    360.757744  1110.866286               0.920852   
2                    153.742005   640.505936               1.268535   
3                    153.525940   617.308328               1.202484   
4                     75.734422   381.392989               1.564237   
5                    359.010264  1851.460767               0.334022   
6                    128.469497   454.569254               2.493675   
7                    195.730836   669.071180               1.655422   
8                    193.350883   737.220654               1.318028   
9                    144.068997   576.777542               1.390121   
10                   212.622422   813.208640               0.997075   

   Chỉ tiêu cơ cấu nguồn vốn                                                
            (Vay NH+DH)/VCSH    Nợ/VCSH TSCĐ / Vốn CSH Vốn CSH/Vốn điều lệ  
0                   0.409062   1.653240       0.190384            1.015897  
1                   0.176999   1.602570       0.196130            1.015406  
2                   0.379486   1.775276       0.203946            1.007665  
3                   0.687200   2.734015       0.217669            0.976715  
4                   0.574461   2.586269       0.228456            0.963894  
5                   1.357663   4.640939       0.233756            0.981793  
6                   0.467058   2.200583       0.234223            1.006482  
7                   0.761055   2.829301       0.334678            0.765416  
8                   1.697437   4.993055       0.665267            0.417480  
9                   3.408298  10.252175       1.266325            0.248366  
10                  3.765146   9.318431       1.132866            0.312592  
