     CP   Năm  Hàng tồn kho ròng  Tài sản lưu động khác  \
    Lưu chuyển tiền từ hoạt động tài chính  \
0                               8429172657   
1                              -1843219945   
2                               4642724063   
3                               -145464950   
4                             -15937024051   
5                              -4578369607   
6                               5590810895   
7                              -6944972287   
8                              14982518720   
9                              -7765690930   
10                               329036584   

    Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)  
0                                                   0                       
1                                                   0                       
2                                                   0                       
3                                                   0                       
4                                                   0                       
5                                                   0                       
6                                                   0                       
7                                                   0                       
8                                                   0                       
9                                                   0                       
10                                         5300000000                       
   Meta          Chỉ tiêu định giá                    \
     CP   Năm Kỳ               P/B Vốn hóa (Tỷ đồng)   
0   THS  2023  5          1.062378       42900000000   
1   THS  2022  5          0.746625       30000000000   
2   THS  2021  5          1.536395       60900000000   
3   THS  2020  5          1.405830       54300000000   
4   THS  2019  5          2.078327       79500000000   
5   THS  2018  5          1.941680       79500000000   
6   THS  2017  5          2.187322       79500000000   
7   THS  2016  5          2.123223       79500000000   
8   THS  2015  5          2.253990       79500000000   
9   THS  2014  5          2.320211       79500000000   
10  THS  2013  5          2.207490       79500000000   

                                                                            \
   Số CP lưu hành (Triệu CP)        P/E       P/S P/Cash Flow    EPS (VND)   
0                    3000000  18.175665  0.189305   -6.925769   786.766279   
1                    3000000   8.772812  0.118667    9.482687  1139.885369   
2                    3000000  16.568985  0.218738  -12.789376  1259.032162   
3                    3000000  17.043583  0.206437   36.211030  1061.983240   
4                    3000000  25.853120  0.277611    4.894577  1041.847329   
5                    3000000  11.795252  0.282972   -8.240158  2339.180505   
6                    3000000  31.622912  0.292794  -25.370770   906.479484   
7                    3000000  16.528067  0.344962    9.261593  1672.231094   
8                    3000000  27.594585  0.404566  -10.300304  1053.469737   
9                    3000000  31.069780  0.517130    7.051458   852.918830   
10                   3000000  32.728161  0.490976  -10.927257   809.700242   

                            Chỉ tiêu khả năng sinh lợi  \
      BVPS (VND)  EV/EBITDA     Biên lợi nhuận gộp (%)   
0   13460.371225   8.892349                   0.077089   
1   13393.604945   5.649384                   0.077620   
2   13212.751738   9.897754                   0.072946   
3   12874.959243  10.009528                   0.073271   
4   12750.638666  16.342625                   0.068819   
5   13647.971842   9.433561                   0.083869   
6   12115.270820  14.797330                   0.067481   
7   12481.022430  17.457898                   0.073423   
8   11756.927740  18.432745                   0.081482   
9   11421.376834  48.546118                   0.074073   
10  12004.584797  78.027301                   0.076967   

                                                                        \
   Biên lợi nhuận ròng (%)   ROE (%)  ROIC (%)   ROA (%) Biên EBIT (%)   
0                 0.010415  0.058596  0.063703  0.032180      0.018945   
1                 0.013527  0.085685  0.087588  0.047179      0.019611   
2                 0.013566  0.096523  0.085648  0.050062      0.016981   
3                 0.012112  0.082885  0.068516  0.044018      0.012164   
4                 0.010914  0.078932  0.064745  0.040797      0.009900   
5                 0.024978  0.181591  0.126727  0.082898      0.025749   
6                 0.010016  0.073709  0.070307  0.033928      0.014209   
7                 0.021768  0.137985  0.054754  0.066090      0.011149   
8                 0.016083  0.090901  0.059730  0.046575      0.014944   
9                 0.016644  0.072818 -0.018646  0.040080     -0.004253   
10                0.015002  0.068243 -0.037086  0.035107     -0.009277   

                                                       \
   EBITDA (Tỷ đồng) EBIT (Tỷ đồng) Tỷ suất cổ tức (%)   
0        7371734787     4293256230           0.055944   
1        7634442612     4957860197           0.080000   
2        7301074308     4727831242           0.049261   
3        5771008689     3199588703           0.055249   
4        4893707240     2835013034           0.037736   
5        9303707143     7233962758           0.075472   
6        6204494429     3858099992           0.030189   
7        4839383834     2569427134           0.049057   
8        4835485599     2936617750           0.035849   
9        1538685461     -653773322           0.026415   
10       1051806663    -1502150443           0.024528   

          Chỉ tiêu thanh khoản                             \
   Chỉ số thanh toán hiện thời Chỉ số thanh toán tiền mặt   
0                     1.462428                   0.123403   
1                     1.530393                   0.106995   
2                     1.449339                   0.122176   
3                     1.319405                   0.120414   
4                     1.397051                   0.170869   
5                     1.354283                   0.177222   
6                     1.165997                   0.161452   
7                     1.208936                   0.153814   
8                     1.346711                   0.151136   
9                     2.401554                   0.454546   
10                    2.196145                   0.122630   

                                                                       \
   Chỉ số thanh toán nhanh Khả năng chi trả lãi vay Đòn bẩy tài chính   
0                 0.522186                -1.962987          1.875331   
1                 0.471091                -3.889931          1.766101   
2                 0.459512                -5.474499          1.866907   
3                 0.403943                -6.086311          1.990873   
4                 0.492817                -3.968361          1.774056   
5                 0.509022               -11.117092          2.084873   
6                 0.511067                -3.988291          2.309540   
7                 0.484815                -4.198823          2.039457   
8                 0.617242                -7.727452          2.139192   
9                 1.255527                 2.124219          1.758715   
10                0.729162                 5.948806          1.872073   

